# A helper file for current driver IDs. May be out of date


1:      Lewis Hamilton
822:    Valtteri Bottas

830:    Max Verstappen
815:    Sergio Pérez

844:    Charles Leclerc
832:    Carlos Sainz

817:    Daniel Ricciardo
846:    Lando Norris

852:    Yuki Tsunoda
842:    Pierre Gasly

20:     Sebastian Vettel
840:    Lance Stroll

4:      Fernando Alonso
839:    Esteban Ocon

8:      Kimi Räikkönen
841:    Antonio Giovinazzi

853:    Nikita Mazepin
854:    Mick Schumacher

847:    George Russell
849:    Nicholas Latifi


807: Nico Hulkenberg

